idx,orig_idx,question,transformation_type,intensity
val_Spatial_Reasoning_111_contrast1,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,contrast,8
val_Spatial_Reasoning_111_contrast2,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,contrast,3
val_Spatial_Reasoning_111_blur1,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,blur,8
val_Spatial_Reasoning_111_blur2,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,blur,3
val_Spatial_Reasoning_111_noise1,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,noise,5
val_Spatial_Reasoning_111_noise2,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,noise,7
val_Spatial_Reasoning_111_masking1,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,masking,5
val_Spatial_Reasoning_111_masking2,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,masking,7
val_Spatial_Reasoning_111_rotate1,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,rotate,8
val_Spatial_Reasoning_111_rotate2,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,rotate,3
val_Spatial_Reasoning_111_shift1,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,shift,8
val_Spatial_Reasoning_111_shift2,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,shift,3
val_Spatial_Reasoning_111_bw1,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,bw,NA
val_Spatial_Reasoning_111_bw2,val_Spatial_Reasoning_111,The motorcycle is behind the dog.,bw,NA
val_Spatial_Reasoning_112_contrast1,val_Spatial_Reasoning_112,The train contains the chair.,contrast,4
val_Spatial_Reasoning_112_contrast2,val_Spatial_Reasoning_112,The train contains the chair.,contrast,8
val_Spatial_Reasoning_112_blur1,val_Spatial_Reasoning_112,The train contains the chair.,blur,4
val_Spatial_Reasoning_112_blur2,val_Spatial_Reasoning_112,The train contains the chair.,blur,8
val_Spatial_Reasoning_112_noise1,val_Spatial_Reasoning_112,The train contains the chair.,noise,6
val_Spatial_Reasoning_112_noise2,val_Spatial_Reasoning_112,The train contains the chair.,noise,5
val_Spatial_Reasoning_112_masking1,val_Spatial_Reasoning_112,The train contains the chair.,masking,6
val_Spatial_Reasoning_112_masking2,val_Spatial_Reasoning_112,The train contains the chair.,masking,5
