idx,orig_idx,question,optionA,optionB,optionC,optionD,new_audio_path
67_silence_0,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_silence_0.wav
67_silence_1,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_silence_1.wav
67_silence_2,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_silence_2.wav
67_silence_3,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_silence_3.wav
67_silence_4,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_silence_4.wav
67_volume_0,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_volume_0.wav
67_volume_1,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_volume_1.wav
67_volume_2,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_volume_2.wav
67_volume_3,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_volume_3.wav
67_volume_4,67,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,duration_audio_perturbations_only/67_volume_4.wav
68_silence_0,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_silence_0.wav
68_silence_1,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_silence_1.wav
68_silence_2,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_silence_2.wav
68_silence_3,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_silence_3.wav
68_silence_4,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_silence_4.wav
68_volume_0,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_volume_0.wav
68_volume_1,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_volume_1.wav
68_volume_2,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_volume_2.wav
68_volume_3,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_volume_3.wav
68_volume_4,68,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,duration_audio_perturbations_only/68_volume_4.wav
69_silence_0,69,Which of these sounds has the longest duration?,clock_alarm,wind,drinking_sipping,glass_breaking,duration_audio_perturbations_only/69_silence_0.wav
69_silence_1,69,Which of these sounds has the longest duration?,clock_alarm,wind,drinking_sipping,glass_breaking,duration_audio_perturbations_only/69_silence_1.wav
69_silence_2,69,Which of these sounds has the longest duration?,clock_alarm,wind,drinking_sipping,glass_breaking,duration_audio_perturbations_only/69_silence_2.wav
69_silence_3,69,Which of these sounds has the longest duration?,clock_alarm,wind,drinking_sipping,glass_breaking,duration_audio_perturbations_only/69_silence_3.wav
69_silence_4,69,Which of these sounds has the longest duration?,clock_alarm,wind,drinking_sipping,glass_breaking,duration_audio_perturbations_only/69_silence_4.wav
69_volume_0,69,Which of these sounds has the longest duration?,clock_alarm,wind,drinking_sipping,glass_breaking,duration_audio_perturbations_only/69_volume_0.wav
