idx,question,orig_idx
val_Spatial_Reasoning_111_rephrased1,The dog is ahead of the motorcycle.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased2,The motorcycle is positioned behind the dog.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased3,The dog is situated ahead of the motorcycle.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased4,The motorcycle is placed behind the dog.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased5,"Behind the dog, you'll find the motorcycle.",val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased6,The motorcycle is located behind the dog.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased7,The dog is in front of the motorcycle.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased8,The motorcycle is positioned in the rear of the dog.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased9,The dog is positioned in front of the motorcycle.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased10,The motorcycle is situated behind the dog's position.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased11,"Behind the dog, there is a motorcycle.",val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased12,The motorcycle is located in the back of the dog.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased13,The dog is ahead of the motorcycle's position.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_111_rephrased14,The motorcycle is in the rear of the dog.,val_Spatial_Reasoning_111
val_Spatial_Reasoning_112_rephrased1,The chair is located inside the train.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased2,The chair is on the train.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased3,The train holds the chair.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased4,The chair is on board the train.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased5,The chair is stored within the train.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased6,The chair is a part of the train's contents.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased7,The train contains the item of furniture.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased8,The chair is found on the train.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased9,The train has the chair inside it.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased10,The chair is one of the train's possessions.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased11,The chair is included in the train's cargo.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased12,The train possesses the chair.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased13,The chair is among the train's items.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_112_rephrased14,The train is carrying the chair.,val_Spatial_Reasoning_112
val_Spatial_Reasoning_113_rephrased1,The horse is in front of the zebra.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased2,The zebra is positioned behind the horse.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased3,The horse is ahead of the zebra.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased4,The zebra is located at the back of the horse.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased5,The horse is situated in front of the zebra.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased6,The zebra is positioned at the rear of the horse.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased7,The horse is in the lead of the zebra.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased8,The zebra is at the back of the horse.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased9,"The horse is in front, and the zebra is behind.",val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased10,The zebra is situated behind the horse.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased11,"The horse is ahead, and the zebra is behind.",val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased12,The zebra is located behind the horse.,val_Spatial_Reasoning_113
val_Spatial_Reasoning_113_rephrased13,"The horse is in the front, and the zebra is in the back.",val_Spatial_Reasoning_113
val_Spatial_Reasoning_114_rephrased1,The bench is in contact with the laptop.,val_Spatial_Reasoning_114
