idx,orig_idx,question,optionA,optionB,optionC,optionD,new_audio_path
59_silence_0,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_silence_0.wav
59_silence_1,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_silence_1.wav
59_silence_2,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_silence_2.wav
59_silence_3,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_silence_3.wav
59_silence_4,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_silence_4.wav
59_volume_0,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_volume_0.wav
59_volume_1,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_volume_1.wav
59_volume_2,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_volume_2.wav
59_volume_3,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_volume_3.wav
59_volume_4,59,Which sound event occurs after sheep sound?,Sheep,"Drinking, sipping",Siren,pig,order_audio_perturbations_only/59_volume_4.wav
60_silence_0,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_silence_0.wav
60_silence_1,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_silence_1.wav
60_silence_2,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_silence_2.wav
60_silence_3,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_silence_3.wav
60_silence_4,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_silence_4.wav
60_volume_0,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_volume_0.wav
60_volume_1,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_volume_1.wav
60_volume_2,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_volume_2.wav
60_volume_3,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_volume_3.wav
60_volume_4,60,Which sound event occurs after car_horn sound?,Cat,Train,water_drops,Pig,order_audio_perturbations_only/60_volume_4.wav
63_silence_0,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_silence_0.wav
63_silence_1,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_silence_1.wav
63_silence_2,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_silence_2.wav
63_silence_3,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_silence_3.wav
63_silence_4,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_silence_4.wav
63_volume_0,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_volume_0.wav
63_volume_1,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_volume_1.wav
63_volume_2,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_volume_2.wav
63_volume_3,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_volume_3.wav
63_volume_4,63,Which sound event occurs second?,Crackling fire,Dog,Mouse click,water_drops,order_audio_perturbations_only/63_volume_4.wav
66_silence_0,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_silence_0.wav
66_silence_1,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_silence_1.wav
66_silence_2,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_silence_2.wav
66_silence_3,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_silence_3.wav
66_silence_4,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_silence_4.wav
66_volume_0,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_volume_0.wav
66_volume_1,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_volume_1.wav
66_volume_2,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_volume_2.wav
66_volume_3,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_volume_3.wav
66_volume_4,66,Which sound event occurs second?,Cat,Crow,Clock tick,frog,order_audio_perturbations_only/66_volume_4.wav
67_silence_0,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_silence_0.wav
67_silence_1,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_silence_1.wav
67_silence_2,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_silence_2.wav
67_silence_3,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_silence_3.wav
67_silence_4,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_silence_4.wav
67_volume_0,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_volume_0.wav
67_volume_1,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_volume_1.wav
67_volume_2,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_volume_2.wav
67_volume_3,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_volume_3.wav
67_volume_4,67,Which sound event occurs after can_opening sound?,sneezing,Siren,"Drinking, sipping",Clock alarm,order_audio_perturbations_only/67_volume_4.wav
68_silence_0,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_silence_0.wav
68_silence_1,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_silence_1.wav
68_silence_2,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_silence_2.wav
68_silence_3,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_silence_3.wav
68_silence_4,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_silence_4.wav
68_volume_0,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_volume_0.wav
68_volume_1,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_volume_1.wav
68_volume_2,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_volume_2.wav
68_volume_3,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_volume_3.wav
68_volume_4,68,Which sound event occurs second?,"Drinking, sipping",Glass breaking,Train,wind,order_audio_perturbations_only/68_volume_4.wav
70_silence_0,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_silence_0.wav
70_silence_1,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_silence_1.wav
70_silence_2,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_silence_2.wav
70_silence_3,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_silence_3.wav
70_silence_4,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_silence_4.wav
70_volume_0,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_volume_0.wav
70_volume_1,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_volume_1.wav
70_volume_2,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_volume_2.wav
70_volume_3,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_volume_3.wav
70_volume_4,70,Which sound event occurs after vacuum_cleaner sound?,crackling_fire,Helicopter,Hen,Fireworks,order_audio_perturbations_only/70_volume_4.wav
71_silence_0,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_silence_0.wav
71_silence_1,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_silence_1.wav
71_silence_2,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_silence_2.wav
71_silence_3,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_silence_3.wav
71_silence_4,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_silence_4.wav
71_volume_0,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_volume_0.wav
71_volume_1,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_volume_1.wav
71_volume_2,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_volume_2.wav
71_volume_3,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_volume_3.wav
71_volume_4,71,Which sound event occurs second?,Chirping birds,"Door, wood creaks",Sea waves,car_horn,order_audio_perturbations_only/71_volume_4.wav
72_silence_0,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_silence_0.wav
72_silence_1,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_silence_1.wav
72_silence_2,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_silence_2.wav
72_silence_3,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_silence_3.wav
72_silence_4,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_silence_4.wav
72_volume_0,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_volume_0.wav
72_volume_1,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_volume_1.wav
72_volume_2,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_volume_2.wav
72_volume_3,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_volume_3.wav
72_volume_4,72,Which sound event occurs second?,Brushing teeth,glass_breaking,Fireworks,Pouring water,order_audio_perturbations_only/72_volume_4.wav
73_silence_0,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_silence_0.wav
73_silence_1,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_silence_1.wav
73_silence_2,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_silence_2.wav
73_silence_3,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_silence_3.wav
73_silence_4,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_silence_4.wav
73_volume_0,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_volume_0.wav
73_volume_1,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_volume_1.wav
73_volume_2,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_volume_2.wav
73_volume_3,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_volume_3.wav
73_volume_4,73,Which sound event occurs first?,Snoring,Pouring water,laughing,Crackling fire,order_audio_perturbations_only/73_volume_4.wav
74_silence_0,74,Which sound event occurs after coughing sound?,Crickets,Clapping,car_horn,Clock tick,order_audio_perturbations_only/74_silence_0.wav
