idx,orig_idx,question,transformation_type,intensity,image_idx
val_Spatial_Relation_1_contrast1_rephrased1,val_Spatial_Relation_1,Is the cat sitting on top of the car?,contrast,8.0,val_Spatial_Relation_1_contrast1
val_Spatial_Relation_1_contrast1_rephrased2,val_Spatial_Relation_1,Is the car located directly below the cat?,contrast,8.0,val_Spatial_Relation_1_contrast1
val_Spatial_Relation_1_contrast1_rephrased3,val_Spatial_Relation_1,Is the car underneath the cat?,contrast,8.0,val_Spatial_Relation_1_contrast1
val_Spatial_Relation_1_contrast1_rephrased4,val_Spatial_Relation_1,Is the car positioned at a lower level than the cat?,contrast,8.0,val_Spatial_Relation_1_contrast1
val_Spatial_Relation_1_contrast2_rephrased1,val_Spatial_Relation_1,Is the car located below the cat?,contrast,3.0,val_Spatial_Relation_1_contrast2
val_Spatial_Relation_1_contrast2_rephrased2,val_Spatial_Relation_1,Is the car situated underneath the cat?,contrast,3.0,val_Spatial_Relation_1_contrast2
val_Spatial_Relation_1_contrast2_rephrased3,val_Spatial_Relation_1,Does the car lie beneath the cat?,contrast,3.0,val_Spatial_Relation_1_contrast2
val_Spatial_Relation_1_contrast2_rephrased4,val_Spatial_Relation_1,Is the car positioned below the cat?,contrast,3.0,val_Spatial_Relation_1_contrast2
val_Spatial_Relation_1_blur1_rephrased1,val_Spatial_Relation_1,Is the cat standing above a car?,blur,8.0,val_Spatial_Relation_1_blur1
val_Spatial_Relation_1_blur1_rephrased2,val_Spatial_Relation_1,Is a car located directly below the cat?,blur,8.0,val_Spatial_Relation_1_blur1
val_Spatial_Relation_1_blur1_rephrased3,val_Spatial_Relation_1,Does the car lie at a lower level than the cat?,blur,8.0,val_Spatial_Relation_1_blur1
val_Spatial_Relation_1_blur1_rephrased4,val_Spatial_Relation_1,Is the car positioned underneath the cat?,blur,8.0,val_Spatial_Relation_1_blur1
val_Spatial_Relation_1_blur2_rephrased1,val_Spatial_Relation_1,Is the cat standing over the car?,blur,3.0,val_Spatial_Relation_1_blur2
val_Spatial_Relation_1_blur2_rephrased2,val_Spatial_Relation_1,Does the car lie below the cat?,blur,3.0,val_Spatial_Relation_1_blur2
val_Spatial_Relation_1_blur2_rephrased3,val_Spatial_Relation_1,Is the car positioned underneath the cat?,blur,3.0,val_Spatial_Relation_1_blur2
val_Spatial_Relation_1_blur2_rephrased4,val_Spatial_Relation_1,Is the car situated beneath the cat?,blur,3.0,val_Spatial_Relation_1_blur2
val_Spatial_Relation_1_noise1_rephrased1,val_Spatial_Relation_1,Is the cat above the car?,noise,5.0,val_Spatial_Relation_1_noise1
val_Spatial_Relation_1_noise1_rephrased2,val_Spatial_Relation_1,Is the car located below the cat?,noise,5.0,val_Spatial_Relation_1_noise1
val_Spatial_Relation_1_noise1_rephrased3,val_Spatial_Relation_1,Is the car positioned underneath the cat?,noise,5.0,val_Spatial_Relation_1_noise1
val_Spatial_Relation_1_noise1_rephrased4,val_Spatial_Relation_1,Is the car situated beneath the cat?,noise,5.0,val_Spatial_Relation_1_noise1
val_Spatial_Relation_1_noise2_rephrased1,val_Spatial_Relation_1,Is the cat sitting on top of the car?,noise,7.0,val_Spatial_Relation_1_noise2
val_Spatial_Relation_1_noise2_rephrased2,val_Spatial_Relation_1,Does the car lie directly below the cat?,noise,7.0,val_Spatial_Relation_1_noise2
val_Spatial_Relation_1_noise2_rephrased3,val_Spatial_Relation_1,Is the car positioned beneath the cat's location?,noise,7.0,val_Spatial_Relation_1_noise2
val_Spatial_Relation_1_noise2_rephrased4,val_Spatial_Relation_1,Is the car situated below the cat's current position?,noise,7.0,val_Spatial_Relation_1_noise2
val_Spatial_Relation_1_masking1_rephrased1,val_Spatial_Relation_1,Is the cat sitting above the car?,masking,5.0,val_Spatial_Relation_1_masking1
val_Spatial_Relation_1_masking1_rephrased2,val_Spatial_Relation_1,Is the car positioned below the cat?,masking,5.0,val_Spatial_Relation_1_masking1
val_Spatial_Relation_1_masking1_rephrased3,val_Spatial_Relation_1,Is the car located beneath where the cat is?,masking,5.0,val_Spatial_Relation_1_masking1
val_Spatial_Relation_1_masking1_rephrased4,val_Spatial_Relation_1,Is the car on a lower level than the cat?,masking,5.0,val_Spatial_Relation_1_masking1
val_Spatial_Relation_1_masking2_rephrased1,val_Spatial_Relation_1,Is the cat sitting on top of the car?,masking,7.0,val_Spatial_Relation_1_masking2
val_Spatial_Relation_1_masking2_rephrased2,val_Spatial_Relation_1,Is the car positioned below the cat?,masking,7.0,val_Spatial_Relation_1_masking2
val_Spatial_Relation_1_masking2_rephrased3,val_Spatial_Relation_1,Is the car at a lower level than the cat?,masking,7.0,val_Spatial_Relation_1_masking2
val_Spatial_Relation_1_masking2_rephrased4,val_Spatial_Relation_1,Is the cat above the car?,masking,7.0,val_Spatial_Relation_1_masking2
val_Spatial_Relation_1_rotate1_rephrased1,val_Spatial_Relation_1,Is the car positioned underneath the cat?,rotate,8.0,val_Spatial_Relation_1_rotate1
val_Spatial_Relation_1_rotate1_rephrased2,val_Spatial_Relation_1,Is the car situated below the cat?,rotate,8.0,val_Spatial_Relation_1_rotate1
val_Spatial_Relation_1_rotate1_rephrased3,val_Spatial_Relation_1,Does the car lie beneath the cat?,rotate,8.0,val_Spatial_Relation_1_rotate1
val_Spatial_Relation_1_rotate1_rephrased4,val_Spatial_Relation_1,Is the car located under the cat?,rotate,8.0,val_Spatial_Relation_1_rotate1
val_Spatial_Relation_1_rotate2_rephrased1,val_Spatial_Relation_1,Is the car positioned below the cat?,rotate,3.0,val_Spatial_Relation_1_rotate2
val_Spatial_Relation_1_rotate2_rephrased2,val_Spatial_Relation_1,Does the car lie beneath the cat?,rotate,3.0,val_Spatial_Relation_1_rotate2
val_Spatial_Relation_1_rotate2_rephrased3,val_Spatial_Relation_1,Is the car situated below the cat?,rotate,3.0,val_Spatial_Relation_1_rotate2
val_Spatial_Relation_1_rotate2_rephrased4,val_Spatial_Relation_1,Is the car located beneath the cat?,rotate,3.0,val_Spatial_Relation_1_rotate2
val_Spatial_Relation_1_shift1_rephrased1,val_Spatial_Relation_1,Is the car located beneath the cat?,shift,8.0,val_Spatial_Relation_1_shift1
val_Spatial_Relation_1_shift1_rephrased2,val_Spatial_Relation_1,Is the cat above the car?,shift,8.0,val_Spatial_Relation_1_shift1
val_Spatial_Relation_1_shift1_rephrased3,val_Spatial_Relation_1,Does the car lie below the cat?,shift,8.0,val_Spatial_Relation_1_shift1
val_Spatial_Relation_1_shift1_rephrased4,val_Spatial_Relation_1,Is the car positioned beneath the cat?,shift,8.0,val_Spatial_Relation_1_shift1
val_Spatial_Relation_1_shift2_rephrased1,val_Spatial_Relation_1,Is the car located underneath the cat?,shift,3.0,val_Spatial_Relation_1_shift2
val_Spatial_Relation_1_shift2_rephrased2,val_Spatial_Relation_1,Is the cat sitting on top of the car?,shift,3.0,val_Spatial_Relation_1_shift2
val_Spatial_Relation_1_shift2_rephrased3,val_Spatial_Relation_1,Is the car positioned below the cat?,shift,3.0,val_Spatial_Relation_1_shift2
val_Spatial_Relation_1_shift2_rephrased4,val_Spatial_Relation_1,Is the car situated beneath the cat's feet?,shift,3.0,val_Spatial_Relation_1_shift2
val_Spatial_Relation_1_bw1_rephrased1,val_Spatial_Relation_1,Is the car located beneath the cat?,bw,,val_Spatial_Relation_1_bw1
val_Spatial_Relation_1_bw1_rephrased2,val_Spatial_Relation_1,Does the car lie underneath the cat?,bw,,val_Spatial_Relation_1_bw1
val_Spatial_Relation_1_bw1_rephrased3,val_Spatial_Relation_1,Is the car situated below the cat?,bw,,val_Spatial_Relation_1_bw1
val_Spatial_Relation_1_bw1_rephrased4,val_Spatial_Relation_1,Is the car positioned underneath the cat?,bw,,val_Spatial_Relation_1_bw1
val_Spatial_Relation_1_bw2_rephrased1,val_Spatial_Relation_1,Is the cat positioned above the car?,bw,,val_Spatial_Relation_1_bw2
val_Spatial_Relation_1_bw2_rephrased2,val_Spatial_Relation_1,Is the car located below the cat?,bw,,val_Spatial_Relation_1_bw2
val_Spatial_Relation_1_bw2_rephrased3,val_Spatial_Relation_1,Is the car situated beneath the cat?,bw,,val_Spatial_Relation_1_bw2
val_Spatial_Relation_1_bw2_rephrased4,val_Spatial_Relation_1,Does the car lie below the cat?,bw,,val_Spatial_Relation_1_bw2
val_Spatial_Relation_2_contrast1_rephrased1,val_Spatial_Relation_2,Is the cat positioned above the car?,contrast,4.0,val_Spatial_Relation_2_contrast1
val_Spatial_Relation_2_contrast1_rephrased2,val_Spatial_Relation_2,Is the car located beneath the cat?,contrast,4.0,val_Spatial_Relation_2_contrast1
val_Spatial_Relation_2_contrast1_rephrased3,val_Spatial_Relation_2,Is the car situated underneath the cat?,contrast,4.0,val_Spatial_Relation_2_contrast1
val_Spatial_Relation_2_contrast1_rephrased4,val_Spatial_Relation_2,Is the car positioned below the cat?,contrast,4.0,val_Spatial_Relation_2_contrast1
val_Spatial_Relation_2_contrast2_rephrased1,val_Spatial_Relation_2,Is the cat positioned above the car?,contrast,8.0,val_Spatial_Relation_2_contrast2
val_Spatial_Relation_2_contrast2_rephrased2,val_Spatial_Relation_2,Is the car located below the cat?,contrast,8.0,val_Spatial_Relation_2_contrast2
val_Spatial_Relation_2_contrast2_rephrased3,val_Spatial_Relation_2,Is the car situated underneath the cat?,contrast,8.0,val_Spatial_Relation_2_contrast2
val_Spatial_Relation_2_contrast2_rephrased4,val_Spatial_Relation_2,Is the cat placed above the car?,contrast,8.0,val_Spatial_Relation_2_contrast2
val_Spatial_Relation_2_blur1_rephrased1,val_Spatial_Relation_2,Is the car positioned below the cat?,blur,4.0,val_Spatial_Relation_2_blur1
val_Spatial_Relation_2_blur1_rephrased2,val_Spatial_Relation_2,Is the cat above or on top of the car?,blur,4.0,val_Spatial_Relation_2_blur1
val_Spatial_Relation_2_blur1_rephrased3,val_Spatial_Relation_2,Is the car located beneath the cat?,blur,4.0,val_Spatial_Relation_2_blur1
val_Spatial_Relation_2_blur1_rephrased4,val_Spatial_Relation_2,Is the car situated below the position of the cat?,blur,4.0,val_Spatial_Relation_2_blur1
val_Spatial_Relation_2_blur2_rephrased1,val_Spatial_Relation_2,Is the car positioned below the cat?,blur,8.0,val_Spatial_Relation_2_blur2
val_Spatial_Relation_2_blur2_rephrased2,val_Spatial_Relation_2,Is the cat above the car?,blur,8.0,val_Spatial_Relation_2_blur2
val_Spatial_Relation_2_blur2_rephrased3,val_Spatial_Relation_2,Is the car located beneath the cat?,blur,8.0,val_Spatial_Relation_2_blur2
val_Spatial_Relation_2_blur2_rephrased4,val_Spatial_Relation_2,Is the car situated underneath the cat?,blur,8.0,val_Spatial_Relation_2_blur2
val_Spatial_Relation_2_noise1_rephrased1,val_Spatial_Relation_2,Is the car positioned below the cat?,noise,6.0,val_Spatial_Relation_2_noise1
val_Spatial_Relation_2_noise1_rephrased2,val_Spatial_Relation_2,Is the cat above the car?,noise,6.0,val_Spatial_Relation_2_noise1
val_Spatial_Relation_2_noise1_rephrased3,val_Spatial_Relation_2,Is the car located beneath the cat?,noise,6.0,val_Spatial_Relation_2_noise1
val_Spatial_Relation_2_noise1_rephrased4,val_Spatial_Relation_2,Is the car situated underneath the cat?,noise,6.0,val_Spatial_Relation_2_noise1
val_Spatial_Relation_2_noise2_rephrased1,val_Spatial_Relation_2,Is the car positioned below the cat?,noise,5.0,val_Spatial_Relation_2_noise2
val_Spatial_Relation_2_noise2_rephrased2,val_Spatial_Relation_2,Is the car situated underneath the cat?,noise,5.0,val_Spatial_Relation_2_noise2
val_Spatial_Relation_2_noise2_rephrased3,val_Spatial_Relation_2,Is the cat above or on top of the car?,noise,5.0,val_Spatial_Relation_2_noise2
val_Spatial_Relation_2_noise2_rephrased4,val_Spatial_Relation_2,Is the car located beneath the cat?,noise,5.0,val_Spatial_Relation_2_noise2
val_Spatial_Relation_2_masking1_rephrased1,val_Spatial_Relation_2,Is the cat positioned above the car?,masking,6.0,val_Spatial_Relation_2_masking1
val_Spatial_Relation_2_masking1_rephrased2,val_Spatial_Relation_2,Is the car located below the cat?,masking,6.0,val_Spatial_Relation_2_masking1
val_Spatial_Relation_2_masking1_rephrased3,val_Spatial_Relation_2,Is the car underneath the cat?,masking,6.0,val_Spatial_Relation_2_masking1
val_Spatial_Relation_2_masking1_rephrased4,val_Spatial_Relation_2,Is the cat situated above or on top of the car?,masking,6.0,val_Spatial_Relation_2_masking1
val_Spatial_Relation_2_masking2_rephrased1,val_Spatial_Relation_2,Is the car positioned below the cat?,masking,5.0,val_Spatial_Relation_2_masking2
val_Spatial_Relation_2_masking2_rephrased2,val_Spatial_Relation_2,Is the car situated beneath the cat?,masking,5.0,val_Spatial_Relation_2_masking2
val_Spatial_Relation_2_masking2_rephrased3,val_Spatial_Relation_2,Is the car located underneath the cat?,masking,5.0,val_Spatial_Relation_2_masking2
val_Spatial_Relation_2_masking2_rephrased4,val_Spatial_Relation_2,Is the car lying below the cat?,masking,5.0,val_Spatial_Relation_2_masking2
val_Spatial_Relation_2_rotate1_rephrased1,val_Spatial_Relation_2,Is the cat sitting above the car?,rotate,4.0,val_Spatial_Relation_2_rotate1
val_Spatial_Relation_2_rotate1_rephrased2,val_Spatial_Relation_2,Is the car located underneath the cat?,rotate,4.0,val_Spatial_Relation_2_rotate1
val_Spatial_Relation_2_rotate1_rephrased3,val_Spatial_Relation_2,Is the car positioned below the cat?,rotate,4.0,val_Spatial_Relation_2_rotate1
val_Spatial_Relation_2_rotate1_rephrased4,val_Spatial_Relation_2,Is the cat standing above the car?,rotate,4.0,val_Spatial_Relation_2_rotate1
val_Spatial_Relation_2_rotate2_rephrased1,val_Spatial_Relation_2,Is the cat positioned above the car?,rotate,8.0,val_Spatial_Relation_2_rotate2
val_Spatial_Relation_2_rotate2_rephrased2,val_Spatial_Relation_2,Is the car situated below the cat?,rotate,8.0,val_Spatial_Relation_2_rotate2
val_Spatial_Relation_2_rotate2_rephrased3,val_Spatial_Relation_2,Is the car underneath the cat?,rotate,8.0,val_Spatial_Relation_2_rotate2
val_Spatial_Relation_2_rotate2_rephrased4,val_Spatial_Relation_2,Is the cat above or over the car?,rotate,8.0,val_Spatial_Relation_2_rotate2
val_Spatial_Relation_2_shift1_rephrased1,val_Spatial_Relation_2,Is the car positioned below the cat?,shift,4.0,val_Spatial_Relation_2_shift1
val_Spatial_Relation_2_shift1_rephrased2,val_Spatial_Relation_2,Is the car situated under the cat?,shift,4.0,val_Spatial_Relation_2_shift1
val_Spatial_Relation_2_shift1_rephrased3,val_Spatial_Relation_2,Is the cat standing above or on top of the car?,shift,4.0,val_Spatial_Relation_2_shift1
val_Spatial_Relation_2_shift1_rephrased4,val_Spatial_Relation_2,Is the car located beneath the cat?,shift,4.0,val_Spatial_Relation_2_shift1
val_Spatial_Relation_2_shift2_rephrased1,val_Spatial_Relation_2,Is the cat above the car?,shift,8.0,val_Spatial_Relation_2_shift2
val_Spatial_Relation_2_shift2_rephrased2,val_Spatial_Relation_2,Is the car positioned below the cat?,shift,8.0,val_Spatial_Relation_2_shift2
val_Spatial_Relation_2_shift2_rephrased3,val_Spatial_Relation_2,Is the car situated underneath the cat?,shift,8.0,val_Spatial_Relation_2_shift2
val_Spatial_Relation_2_shift2_rephrased4,val_Spatial_Relation_2,Is the car located beneath the cat's position?,shift,8.0,val_Spatial_Relation_2_shift2
val_Spatial_Relation_2_bw1_rephrased1,val_Spatial_Relation_2,Is the cat above the car?,bw,,val_Spatial_Relation_2_bw1
val_Spatial_Relation_2_bw1_rephrased2,val_Spatial_Relation_2,Is the car positioned below the cat?,bw,,val_Spatial_Relation_2_bw1
val_Spatial_Relation_2_bw1_rephrased3,val_Spatial_Relation_2,Is the cat sitting on top of the car?,bw,,val_Spatial_Relation_2_bw1
val_Spatial_Relation_2_bw1_rephrased4,val_Spatial_Relation_2,Is the car situated underneath the cat?,bw,,val_Spatial_Relation_2_bw1
val_Spatial_Relation_2_bw2_rephrased1,val_Spatial_Relation_2,Is the cat standing above the car?,bw,,val_Spatial_Relation_2_bw2
val_Spatial_Relation_2_bw2_rephrased2,val_Spatial_Relation_2,Is the car positioned beneath the cat?,bw,,val_Spatial_Relation_2_bw2
val_Spatial_Relation_2_bw2_rephrased3,val_Spatial_Relation_2,Is the cat above the car?,bw,,val_Spatial_Relation_2_bw2
val_Spatial_Relation_2_bw2_rephrased4,val_Spatial_Relation_2,Is the car located underneath the cat?,bw,,val_Spatial_Relation_2_bw2
val_Spatial_Relation_3_contrast1_rephrased1,val_Spatial_Relation_3,Is the bed located to the right of the dining table?,contrast,8.0,val_Spatial_Relation_3_contrast1
val_Spatial_Relation_3_contrast1_rephrased2,val_Spatial_Relation_3,Is the dining table positioned to the left of the bed?,contrast,8.0,val_Spatial_Relation_3_contrast1
val_Spatial_Relation_3_contrast1_rephrased3,val_Spatial_Relation_3,Is the bed situated on the right-hand side of the dining table?,contrast,8.0,val_Spatial_Relation_3_contrast1
val_Spatial_Relation_3_contrast1_rephrased4,val_Spatial_Relation_3,Is the dining table situated to the right of the bed?,contrast,8.0,val_Spatial_Relation_3_contrast1
