question,id,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories,orig_idx,idx
What number of distinct sound sources can be detected within this audio clip?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased1
How many different sound sources can be identified in this recording?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased2
How many distinct sound sources are present in this audio sample?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased3
What is the total count of different sound sources in this clip?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased4
Can you determine the number of different sound sources heard in this audio?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased5
How many unique sound sources are audible in this audio clip?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased6
What is the number of distinct sound sources that can be heard in this recording?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased7
How many different sound sources can be distinguished in this audio?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased8
What is the count of different sound sources present in this audio clip?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased9
Can you identify the number of different sound sources in this audio recording?,59,audios/59.wav,3,1,0,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/5-173568-A-33.wav']","['door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks', 'door_wood_creaks']",59,59_rephrased10
What is the total number of distinct sound sources in this audio clip?,63,audios/63.wav,2,3,4,1,A,"['/home/data/ESC-50/ESC-50-master/audio/1-81001-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/1-81001-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/2-118459-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/2-118459-A-32.wav']","['door_wood_knock', 'door_wood_knock', 'keyboard_typing', 'keyboard_typing']",63,63_rephrased1
How many different sound sources are present in this recording?,63,audios/63.wav,2,3,4,1,A,"['/home/data/ESC-50/ESC-50-master/audio/1-81001-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/1-81001-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/2-118459-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/2-118459-A-32.wav']","['door_wood_knock', 'door_wood_knock', 'keyboard_typing', 'keyboard_typing']",63,63_rephrased2
