idx,orig_idx,question,transformation_type,intensity
val_Spatial_Relation_1_contrast1,val_Spatial_Relation_1,Is the car beneath the cat?,contrast,8
val_Spatial_Relation_1_contrast2,val_Spatial_Relation_1,Is the car beneath the cat?,contrast,3
val_Spatial_Relation_1_blur1,val_Spatial_Relation_1,Is the car beneath the cat?,blur,8
val_Spatial_Relation_1_blur2,val_Spatial_Relation_1,Is the car beneath the cat?,blur,3
val_Spatial_Relation_1_noise1,val_Spatial_Relation_1,Is the car beneath the cat?,noise,5
val_Spatial_Relation_1_noise2,val_Spatial_Relation_1,Is the car beneath the cat?,noise,7
val_Spatial_Relation_1_masking1,val_Spatial_Relation_1,Is the car beneath the cat?,masking,5
val_Spatial_Relation_1_masking2,val_Spatial_Relation_1,Is the car beneath the cat?,masking,7
val_Spatial_Relation_1_rotate1,val_Spatial_Relation_1,Is the car beneath the cat?,rotate,8
val_Spatial_Relation_1_rotate2,val_Spatial_Relation_1,Is the car beneath the cat?,rotate,3
val_Spatial_Relation_1_shift1,val_Spatial_Relation_1,Is the car beneath the cat?,shift,8
val_Spatial_Relation_1_shift2,val_Spatial_Relation_1,Is the car beneath the cat?,shift,3
val_Spatial_Relation_1_bw1,val_Spatial_Relation_1,Is the car beneath the cat?,bw,NA
val_Spatial_Relation_1_bw2,val_Spatial_Relation_1,Is the car beneath the cat?,bw,NA
val_Spatial_Relation_2_contrast1,val_Spatial_Relation_2,Is the car under the cat?,contrast,4
val_Spatial_Relation_2_contrast2,val_Spatial_Relation_2,Is the car under the cat?,contrast,8
val_Spatial_Relation_2_blur1,val_Spatial_Relation_2,Is the car under the cat?,blur,4
val_Spatial_Relation_2_blur2,val_Spatial_Relation_2,Is the car under the cat?,blur,8
val_Spatial_Relation_2_noise1,val_Spatial_Relation_2,Is the car under the cat?,noise,6
val_Spatial_Relation_2_noise2,val_Spatial_Relation_2,Is the car under the cat?,noise,5
val_Spatial_Relation_2_masking1,val_Spatial_Relation_2,Is the car under the cat?,masking,6
val_Spatial_Relation_2_masking2,val_Spatial_Relation_2,Is the car under the cat?,masking,5
val_Spatial_Relation_2_rotate1,val_Spatial_Relation_2,Is the car under the cat?,rotate,4
val_Spatial_Relation_2_rotate2,val_Spatial_Relation_2,Is the car under the cat?,rotate,8
val_Spatial_Relation_2_shift1,val_Spatial_Relation_2,Is the car under the cat?,shift,4
val_Spatial_Relation_2_shift2,val_Spatial_Relation_2,Is the car under the cat?,shift,8
val_Spatial_Relation_2_bw1,val_Spatial_Relation_2,Is the car under the cat?,bw,NA
val_Spatial_Relation_2_bw2,val_Spatial_Relation_2,Is the car under the cat?,bw,NA
val_Spatial_Relation_3_contrast1,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,contrast,8
val_Spatial_Relation_3_contrast2,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,contrast,7
val_Spatial_Relation_3_blur1,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,blur,8
val_Spatial_Relation_3_blur2,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,blur,7
val_Spatial_Relation_3_noise1,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,noise,5
val_Spatial_Relation_3_noise2,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,noise,9
val_Spatial_Relation_3_masking1,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,masking,5
val_Spatial_Relation_3_masking2,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,masking,9
val_Spatial_Relation_3_rotate1,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,rotate,8
val_Spatial_Relation_3_rotate2,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,rotate,7
val_Spatial_Relation_3_shift1,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,shift,8
val_Spatial_Relation_3_shift2,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,shift,7
val_Spatial_Relation_3_bw1,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,bw,NA
val_Spatial_Relation_3_bw2,val_Spatial_Relation_3,Is the bed at the right side of the dining table?,bw,NA
val_Spatial_Relation_4_contrast1,val_Spatial_Relation_4,Is the bowl in front of the apple?,contrast,6
val_Spatial_Relation_4_contrast2,val_Spatial_Relation_4,Is the bowl in front of the apple?,contrast,3
val_Spatial_Relation_4_blur1,val_Spatial_Relation_4,Is the bowl in front of the apple?,blur,6
val_Spatial_Relation_4_blur2,val_Spatial_Relation_4,Is the bowl in front of the apple?,blur,3
val_Spatial_Relation_4_noise1,val_Spatial_Relation_4,Is the bowl in front of the apple?,noise,5
val_Spatial_Relation_4_noise2,val_Spatial_Relation_4,Is the bowl in front of the apple?,noise,10
val_Spatial_Relation_4_masking1,val_Spatial_Relation_4,Is the bowl in front of the apple?,masking,5
val_Spatial_Relation_4_masking2,val_Spatial_Relation_4,Is the bowl in front of the apple?,masking,10
val_Spatial_Relation_4_rotate1,val_Spatial_Relation_4,Is the bowl in front of the apple?,rotate,6
val_Spatial_Relation_4_rotate2,val_Spatial_Relation_4,Is the bowl in front of the apple?,rotate,3
val_Spatial_Relation_4_shift1,val_Spatial_Relation_4,Is the bowl in front of the apple?,shift,6
val_Spatial_Relation_4_shift2,val_Spatial_Relation_4,Is the bowl in front of the apple?,shift,3
val_Spatial_Relation_4_bw1,val_Spatial_Relation_4,Is the bowl in front of the apple?,bw,NA
val_Spatial_Relation_4_bw2,val_Spatial_Relation_4,Is the bowl in front of the apple?,bw,NA
val_Spatial_Relation_5_contrast1,val_Spatial_Relation_5,Is the person on top of the bed?,contrast,4
val_Spatial_Relation_5_contrast2,val_Spatial_Relation_5,Is the person on top of the bed?,contrast,8
val_Spatial_Relation_5_blur1,val_Spatial_Relation_5,Is the person on top of the bed?,blur,4
val_Spatial_Relation_5_blur2,val_Spatial_Relation_5,Is the person on top of the bed?,blur,8
val_Spatial_Relation_5_noise1,val_Spatial_Relation_5,Is the person on top of the bed?,noise,9
val_Spatial_Relation_5_noise2,val_Spatial_Relation_5,Is the person on top of the bed?,noise,10
val_Spatial_Relation_5_masking1,val_Spatial_Relation_5,Is the person on top of the bed?,masking,9
val_Spatial_Relation_5_masking2,val_Spatial_Relation_5,Is the person on top of the bed?,masking,10
val_Spatial_Relation_5_rotate1,val_Spatial_Relation_5,Is the person on top of the bed?,rotate,4
val_Spatial_Relation_5_rotate2,val_Spatial_Relation_5,Is the person on top of the bed?,rotate,8
val_Spatial_Relation_5_shift1,val_Spatial_Relation_5,Is the person on top of the bed?,shift,4
val_Spatial_Relation_5_shift2,val_Spatial_Relation_5,Is the person on top of the bed?,shift,8
val_Spatial_Relation_5_bw1,val_Spatial_Relation_5,Is the person on top of the bed?,bw,NA
val_Spatial_Relation_5_bw2,val_Spatial_Relation_5,Is the person on top of the bed?,bw,NA
val_Spatial_Relation_6_contrast1,val_Spatial_Relation_6,Is the bicycle on the bus?,contrast,3
val_Spatial_Relation_6_contrast2,val_Spatial_Relation_6,Is the bicycle on the bus?,contrast,7
val_Spatial_Relation_6_blur1,val_Spatial_Relation_6,Is the bicycle on the bus?,blur,3
val_Spatial_Relation_6_blur2,val_Spatial_Relation_6,Is the bicycle on the bus?,blur,7
val_Spatial_Relation_6_noise1,val_Spatial_Relation_6,Is the bicycle on the bus?,noise,6
val_Spatial_Relation_6_noise2,val_Spatial_Relation_6,Is the bicycle on the bus?,noise,9
val_Spatial_Relation_6_masking1,val_Spatial_Relation_6,Is the bicycle on the bus?,masking,6
val_Spatial_Relation_6_masking2,val_Spatial_Relation_6,Is the bicycle on the bus?,masking,9
val_Spatial_Relation_6_rotate1,val_Spatial_Relation_6,Is the bicycle on the bus?,rotate,3
val_Spatial_Relation_6_rotate2,val_Spatial_Relation_6,Is the bicycle on the bus?,rotate,7
val_Spatial_Relation_6_shift1,val_Spatial_Relation_6,Is the bicycle on the bus?,shift,3
val_Spatial_Relation_6_shift2,val_Spatial_Relation_6,Is the bicycle on the bus?,shift,7
val_Spatial_Relation_6_bw1,val_Spatial_Relation_6,Is the bicycle on the bus?,bw,NA
val_Spatial_Relation_6_bw2,val_Spatial_Relation_6,Is the bicycle on the bus?,bw,NA
val_Spatial_Relation_7_contrast1,val_Spatial_Relation_7,Is the person next to the banana?,contrast,6
val_Spatial_Relation_7_contrast2,val_Spatial_Relation_7,Is the person next to the banana?,contrast,4
val_Spatial_Relation_7_blur1,val_Spatial_Relation_7,Is the person next to the banana?,blur,6
val_Spatial_Relation_7_blur2,val_Spatial_Relation_7,Is the person next to the banana?,blur,4
