id,audio_path,question,optionA,optionB,optionC,optionD,correct,ordering_method,audioabsent_optionspresent_num,audiopath_list,cat_mapping
67,audios/67.wav,Which sound among the following is the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}"
68,audios/68.wav,Which sound among the following is heard for the greatest length of time?,crickets,rain,brushing_teeth,siren,A,consec,3,"['/home/data/ESC-50/ESC-50-master/audio/2-52789-A-4.wav', '/home/data/ESC-50/ESC-50-master/audio/5-212736-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/1-57316-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/1-57316-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/1-57316-A-13.wav']","{'frog': '/home/data/ESC-50/ESC-50-master/audio/2-52789-A-4.wav', 'pouring_water': '/home/data/ESC-50/ESC-50-master/audio/5-212736-A-17.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/1-57316-A-13.wav'}"
69,audios/69.wav,Which of these sounds has the longest duration?,clock_alarm,wind,drinking_sipping,glass_breaking,B,random,1,"['/home/data/ESC-50/ESC-50-master/audio/3-117504-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/3-120526-B-37.wav', '/home/data/ESC-50/ESC-50-master/audio/3-117504-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/2-121978-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-117504-B-16.wav']","{'wind': '/home/data/ESC-50/ESC-50-master/audio/3-117504-B-16.wav', 'drinking_sipping': '/home/data/ESC-50/ESC-50-master/audio/2-121978-A-29.wav', 'clock_alarm': '/home/data/ESC-50/ESC-50-master/audio/3-120526-B-37.wav'}"
70,audios/70.wav,Which sound among the following is heard for the greatest length of time?,pouring_water,fireworks,door_wood_creaks,coughing,A,random,1,"['/home/data/ESC-50/ESC-50-master/audio/4-155650-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168868-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-108352-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168868-A-17.wav']","{'pouring_water': '/home/data/ESC-50/ESC-50-master/audio/4-168868-A-17.wav', 'coughing': '/home/data/ESC-50/ESC-50-master/audio/4-155650-A-24.wav', 'door_wood_creaks': '/home/data/ESC-50/ESC-50-master/audio/4-108352-A-33.wav'}"
71,audios/71.wav,Which of the given sounds is heard for the least amount of time?,clapping,chirping_birds,rain,insects,D,random,1,"['/home/data/ESC-50/ESC-50-master/audio/5-243450-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/4-133895-A-7.wav', '/home/data/ESC-50/ESC-50-master/audio/5-243450-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/2-57733-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/2-57733-A-22.wav']","{'insects': '/home/data/ESC-50/ESC-50-master/audio/4-133895-A-7.wav', 'clapping': '/home/data/ESC-50/ESC-50-master/audio/2-57733-A-22.wav', 'chirping_birds': '/home/data/ESC-50/ESC-50-master/audio/5-243450-A-14.wav'}"
72,audios/72.wav,Which of the following sounds lasts for the shortest time?,sneezing,wind,engine,pouring_water,A,consec,1,"['/home/data/ESC-50/ESC-50-master/audio/5-194533-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/2-106015-B-44.wav', '/home/data/ESC-50/ESC-50-master/audio/2-106015-B-44.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168868-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168868-A-17.wav']","{'sneezing': '/home/data/ESC-50/ESC-50-master/audio/5-194533-A-21.wav', 'engine': '/home/data/ESC-50/ESC-50-master/audio/2-106015-B-44.wav', 'pouring_water': '/home/data/ESC-50/ESC-50-master/audio/4-168868-A-17.wav'}"
73,audios/73.wav,Which of the given sounds is heard for the least amount of time?,airplane,crying_baby,pig,dog,D,consec,3,"['/home/data/ESC-50/ESC-50-master/audio/4-195707-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-195707-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/1-59513-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155583-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155583-A-14.wav']","{'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-195707-A-13.wav', 'dog': '/home/data/ESC-50/ESC-50-master/audio/1-59513-A-0.wav', 'chirping_birds': '/home/data/ESC-50/ESC-50-master/audio/3-155583-A-14.wav'}"
74,audios/74.wav,Which sound among the following is heard for the greatest length of time?,door_wood_creaks,helicopter,coughing,toilet_flush,C,consec,1,"['/home/data/ESC-50/ESC-50-master/audio/2-87795-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/2-87795-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/2-87795-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/4-193480-B-40.wav', '/home/data/ESC-50/ESC-50-master/audio/3-103401-D-33.wav']","{'coughing': '/home/data/ESC-50/ESC-50-master/audio/2-87795-A-24.wav', 'helicopter': '/home/data/ESC-50/ESC-50-master/audio/4-193480-B-40.wav', 'door_wood_creaks': '/home/data/ESC-50/ESC-50-master/audio/3-103401-D-33.wav'}"
75,audios/75.wav,Which of these sounds has the longest duration?,sheep,cow,pouring_water,washing_machine,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/3-188726-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-189838-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/3-154439-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/3-154439-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/3-154439-A-17.wav']","{'washing_machine': '/home/data/ESC-50/ESC-50-master/audio/3-188726-A-35.wav', 'clapping': '/home/data/ESC-50/ESC-50-master/audio/4-189838-A-22.wav', 'pouring_water': '/home/data/ESC-50/ESC-50-master/audio/3-154439-A-17.wav'}"
76,audios/76.wav,Which sound among the following is heard for the longest time?,fireworks,drinking_sipping,vacuum_cleaner,engine,D,random,2,"['/home/data/ESC-50/ESC-50-master/audio/5-240671-A-44.wav', '/home/data/ESC-50/ESC-50-master/audio/3-145387-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/5-240671-A-44.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155568-A-32.wav']","{'drinking_sipping': '/home/data/ESC-50/ESC-50-master/audio/3-145387-A-29.wav', 'engine': '/home/data/ESC-50/ESC-50-master/audio/5-240671-A-44.wav', 'keyboard_typing': '/home/data/ESC-50/ESC-50-master/audio/3-155568-A-32.wav'}"
