idx,question,orig_idx
val_Spatial_Relation_1_rephrased1,Is the cat above the car?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased2,Is the car positioned below the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased3,Is the car situated beneath the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased4,Is the car located underneath the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased5,Is the cat above or on top of the car?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased6,Is the car at a lower level than the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased7,Is the car positioned at the bottom compared to the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased8,Is the car lower than the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased9,Is the car at a lower elevation than the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased10,Is the car placed beneath the cat's position?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased11,Is the cat higher than the car?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased12,Is the car situated at a lower point than the cat?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased13,Is the car below the point where the cat is standing?,val_Spatial_Relation_1
val_Spatial_Relation_1_rephrased14,Is the car positioned at a lower spot than the cat?,val_Spatial_Relation_1
val_Spatial_Relation_2_rephrased1,Is the cat above the car?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased2,Is the car positioned below the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased3,Is the cat located above the car?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased4,Does the car lie beneath the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased5,Is the car situated under the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased6,Is the cat placed above the car?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased7,Is the car positioned under the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased8,Is the car below the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased9,Is the cat above or over the car?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased10,Is the car located under the feline?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased11,Is the car situated below the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased12,Does the car lie under the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased13,Is the car at the bottom compared to the cat?,val_Spatial_Relation_2
val_Spatial_Relation_2_rephrased14,Is the car under or beneath the cat?,val_Spatial_Relation_2
val_Spatial_Relation_3_rephrased1,Is the bed situated to the right of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased2,Is the bed located to the right of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased3,Is the bed positioned to the right of the dining table?,val_Spatial_Relation_3
