idx,orig_idx,question,transformation_type,intensity,image_idx
val_Spatial_Reasoning_111_contrast1_rephrased1,val_Spatial_Reasoning_111,The dog has the motorcycle positioned behind it.,contrast,8.0,val_Spatial_Reasoning_111_contrast1
val_Spatial_Reasoning_111_contrast1_rephrased2,val_Spatial_Reasoning_111,The motorcycle is situated at the back of the dog.,contrast,8.0,val_Spatial_Reasoning_111_contrast1
val_Spatial_Reasoning_111_contrast1_rephrased3,val_Spatial_Reasoning_111,Behind the dog is where you can find the motorcycle.,contrast,8.0,val_Spatial_Reasoning_111_contrast1
val_Spatial_Reasoning_111_contrast1_rephrased4,val_Spatial_Reasoning_111,The motorcycle is located at the rear of the dog.,contrast,8.0,val_Spatial_Reasoning_111_contrast1
val_Spatial_Reasoning_111_contrast2_rephrased1,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,contrast,3.0,val_Spatial_Reasoning_111_contrast2
val_Spatial_Reasoning_111_contrast2_rephrased2,val_Spatial_Reasoning_111,The motorcycle is situated behind the dog.,contrast,3.0,val_Spatial_Reasoning_111_contrast2
val_Spatial_Reasoning_111_contrast2_rephrased3,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,contrast,3.0,val_Spatial_Reasoning_111_contrast2
val_Spatial_Reasoning_111_contrast2_rephrased4,val_Spatial_Reasoning_111,The motorcycle is located behind the dog.,contrast,3.0,val_Spatial_Reasoning_111_contrast2
val_Spatial_Reasoning_111_blur1_rephrased1,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,blur,8.0,val_Spatial_Reasoning_111_blur1
val_Spatial_Reasoning_111_blur1_rephrased2,val_Spatial_Reasoning_111,The motorcycle is situated behind the dog.,blur,8.0,val_Spatial_Reasoning_111_blur1
val_Spatial_Reasoning_111_blur1_rephrased3,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,blur,8.0,val_Spatial_Reasoning_111_blur1
val_Spatial_Reasoning_111_blur1_rephrased4,val_Spatial_Reasoning_111,The motorcycle is positioned behind the dog.,blur,8.0,val_Spatial_Reasoning_111_blur1
val_Spatial_Reasoning_111_blur2_rephrased1,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,blur,3.0,val_Spatial_Reasoning_111_blur2
val_Spatial_Reasoning_111_blur2_rephrased2,val_Spatial_Reasoning_111,The motorcycle is situated behind the dog.,blur,3.0,val_Spatial_Reasoning_111_blur2
val_Spatial_Reasoning_111_blur2_rephrased3,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,blur,3.0,val_Spatial_Reasoning_111_blur2
val_Spatial_Reasoning_111_blur2_rephrased4,val_Spatial_Reasoning_111,The motorcycle is located behind the dog.,blur,3.0,val_Spatial_Reasoning_111_blur2
val_Spatial_Reasoning_111_noise1_rephrased1,val_Spatial_Reasoning_111,The motorcycle is situated at a position that is directly behind the dog.,noise,5.0,val_Spatial_Reasoning_111_noise1
val_Spatial_Reasoning_111_noise1_rephrased2,val_Spatial_Reasoning_111,Behind the dog is the motorcycle.,noise,5.0,val_Spatial_Reasoning_111_noise1
val_Spatial_Reasoning_111_noise1_rephrased3,val_Spatial_Reasoning_111,The dog is positioned in front of the motorcycle.,noise,5.0,val_Spatial_Reasoning_111_noise1
val_Spatial_Reasoning_111_noise1_rephrased4,val_Spatial_Reasoning_111,The motorcycle is located in the rear of the dog.,noise,5.0,val_Spatial_Reasoning_111_noise1
val_Spatial_Reasoning_111_noise2_rephrased1,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,noise,7.0,val_Spatial_Reasoning_111_noise2
val_Spatial_Reasoning_111_noise2_rephrased2,val_Spatial_Reasoning_111,The motorcycle is positioned behind the dog.,noise,7.0,val_Spatial_Reasoning_111_noise2
val_Spatial_Reasoning_111_noise2_rephrased3,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,noise,7.0,val_Spatial_Reasoning_111_noise2
val_Spatial_Reasoning_111_noise2_rephrased4,val_Spatial_Reasoning_111,The motorcycle is situated behind the dog.,noise,7.0,val_Spatial_Reasoning_111_noise2
val_Spatial_Reasoning_111_masking1_rephrased1,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,masking,5.0,val_Spatial_Reasoning_111_masking1
val_Spatial_Reasoning_111_masking1_rephrased2,val_Spatial_Reasoning_111,The motorcycle is positioned after the dog.,masking,5.0,val_Spatial_Reasoning_111_masking1
val_Spatial_Reasoning_111_masking1_rephrased3,val_Spatial_Reasoning_111,The dog is situated in front of the motorcycle.,masking,5.0,val_Spatial_Reasoning_111_masking1
val_Spatial_Reasoning_111_masking1_rephrased4,val_Spatial_Reasoning_111,The motorcycle is following the dog.,masking,5.0,val_Spatial_Reasoning_111_masking1
val_Spatial_Reasoning_111_masking2_rephrased1,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,masking,7.0,val_Spatial_Reasoning_111_masking2
val_Spatial_Reasoning_111_masking2_rephrased2,val_Spatial_Reasoning_111,The motorcycle is positioned behind the dog.,masking,7.0,val_Spatial_Reasoning_111_masking2
val_Spatial_Reasoning_111_masking2_rephrased3,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,masking,7.0,val_Spatial_Reasoning_111_masking2
val_Spatial_Reasoning_111_masking2_rephrased4,val_Spatial_Reasoning_111,The motorcycle is situated behind the dog.,masking,7.0,val_Spatial_Reasoning_111_masking2
val_Spatial_Reasoning_111_rotate1_rephrased1,val_Spatial_Reasoning_111,The motorcycle is situated in the rear of the dog.,rotate,8.0,val_Spatial_Reasoning_111_rotate1
val_Spatial_Reasoning_111_rotate1_rephrased2,val_Spatial_Reasoning_111,The dog has the motorcycle positioned directly behind it.,rotate,8.0,val_Spatial_Reasoning_111_rotate1
val_Spatial_Reasoning_111_rotate1_rephrased3,val_Spatial_Reasoning_111,Behind the dog is where you can find the motorcycle.,rotate,8.0,val_Spatial_Reasoning_111_rotate1
val_Spatial_Reasoning_111_rotate1_rephrased4,val_Spatial_Reasoning_111,The motorcycle is located immediately to the rear of the dog.,rotate,8.0,val_Spatial_Reasoning_111_rotate1
val_Spatial_Reasoning_111_rotate2_rephrased1,val_Spatial_Reasoning_111,The dog has the motorcycle positioned behind it.,rotate,3.0,val_Spatial_Reasoning_111_rotate2
val_Spatial_Reasoning_111_rotate2_rephrased2,val_Spatial_Reasoning_111,"Behind the dog, you'll find the motorcycle.",rotate,3.0,val_Spatial_Reasoning_111_rotate2
