idx,orig_idx,question,optionA,optionB,optionC,optionD,new_audio_path
59_silence_0,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_silence_0.wav
59_silence_1,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_silence_1.wav
59_silence_2,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_silence_2.wav
59_silence_3,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_silence_3.wav
59_silence_4,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_silence_4.wav
59_volume_0,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_volume_0.wav
59_volume_1,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_volume_1.wav
59_volume_2,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_volume_2.wav
59_volume_3,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_volume_3.wav
59_volume_4,59,How many different sound sources can be heard in this clip?,3,1,0,2,count_audio_perturbations_only/59_volume_4.wav
63_silence_0,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_silence_0.wav
63_silence_1,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_silence_1.wav
63_silence_2,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_silence_2.wav
63_silence_3,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_silence_3.wav
63_silence_4,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_silence_4.wav
63_volume_0,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_volume_0.wav
63_volume_1,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_volume_1.wav
63_volume_2,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_volume_2.wav
63_volume_3,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_volume_3.wav
63_volume_4,63,Identify the count of different sound sources in this clip.,2,3,4,1,count_audio_perturbations_only/63_volume_4.wav
65_silence_0,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_silence_0.wav
65_silence_1,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_silence_1.wav
65_silence_2,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_silence_2.wav
65_silence_3,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_silence_3.wav
65_silence_4,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_silence_4.wav
65_volume_0,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_volume_0.wav
65_volume_1,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_volume_1.wav
65_volume_2,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_volume_2.wav
65_volume_3,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_volume_3.wav
65_volume_4,65,How many distinct sound categories are there in this audio file?,0,2,1,3,count_audio_perturbations_only/65_volume_4.wav
66_silence_0,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_silence_0.wav
66_silence_1,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_silence_1.wav
66_silence_2,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_silence_2.wav
66_silence_3,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_silence_3.wav
66_silence_4,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_silence_4.wav
66_volume_0,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_volume_0.wav
66_volume_1,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_volume_1.wav
66_volume_2,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_volume_2.wav
66_volume_3,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_volume_3.wav
66_volume_4,66,Determine the number of unique sound sources in this recording.,2,0,1,3,count_audio_perturbations_only/66_volume_4.wav
67_silence_0,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_silence_0.wav
67_silence_1,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_silence_1.wav
67_silence_2,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_silence_2.wav
67_silence_3,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_silence_3.wav
67_silence_4,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_silence_4.wav
67_volume_0,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_volume_0.wav
67_volume_1,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_volume_1.wav
67_volume_2,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_volume_2.wav
67_volume_3,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_volume_3.wav
67_volume_4,67,How many separate sound sources are included in the audio?,3,2,0,1,count_audio_perturbations_only/67_volume_4.wav
68_silence_0,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_silence_0.wav
68_silence_1,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_silence_1.wav
68_silence_2,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_silence_2.wav
68_silence_3,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_silence_3.wav
68_silence_4,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_silence_4.wav
68_volume_0,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_volume_0.wav
68_volume_1,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_volume_1.wav
68_volume_2,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_volume_2.wav
68_volume_3,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_volume_3.wav
68_volume_4,68,What is the total number of unique sound types in this audio?,2,4,3,1,count_audio_perturbations_only/68_volume_4.wav
69_silence_0,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_silence_0.wav
69_silence_1,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_silence_1.wav
69_silence_2,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_silence_2.wav
69_silence_3,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_silence_3.wav
69_silence_4,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_silence_4.wav
69_volume_0,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_volume_0.wav
69_volume_1,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_volume_1.wav
69_volume_2,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_volume_2.wav
69_volume_3,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_volume_3.wav
69_volume_4,69,How many different sound sources can be heard in this clip?,4,3,2,5,count_audio_perturbations_only/69_volume_4.wav
71_silence_0,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_silence_0.wav
71_silence_1,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_silence_1.wav
71_silence_2,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_silence_2.wav
71_silence_3,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_silence_3.wav
71_silence_4,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_silence_4.wav
71_volume_0,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_volume_0.wav
71_volume_1,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_volume_1.wav
71_volume_2,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_volume_2.wav
71_volume_3,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_volume_3.wav
71_volume_4,71,How many different types of sounds can be identified in this recording?,2,3,1,0,count_audio_perturbations_only/71_volume_4.wav
72_silence_0,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_silence_0.wav
72_silence_1,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_silence_1.wav
72_silence_2,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_silence_2.wav
72_silence_3,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_silence_3.wav
72_silence_4,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_silence_4.wav
72_volume_0,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_volume_0.wav
72_volume_1,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_volume_1.wav
72_volume_2,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_volume_2.wav
72_volume_3,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_volume_3.wav
72_volume_4,72,How many unique types of sound are present in this audio?,1,4,2,3,count_audio_perturbations_only/72_volume_4.wav
73_silence_0,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_silence_0.wav
73_silence_1,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_silence_1.wav
73_silence_2,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_silence_2.wav
73_silence_3,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_silence_3.wav
73_silence_4,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_silence_4.wav
73_volume_0,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_volume_0.wav
73_volume_1,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_volume_1.wav
73_volume_2,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_volume_2.wav
73_volume_3,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_volume_3.wav
73_volume_4,73,Identify the count of different sound sources in this clip.,2,3,5,4,count_audio_perturbations_only/73_volume_4.wav
74_silence_0,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_silence_0.wav
74_silence_1,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_silence_1.wav
74_silence_2,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_silence_2.wav
74_silence_3,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_silence_3.wav
74_silence_4,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_silence_4.wav
74_volume_0,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_volume_0.wav
74_volume_1,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_volume_1.wav
74_volume_2,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_volume_2.wav
74_volume_3,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_volume_3.wav
74_volume_4,74,What is the total number of unique sounds heard in this audio?,3,1,2,0,count_audio_perturbations_only/74_volume_4.wav
75_silence_0,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_silence_0.wav
75_silence_1,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_silence_1.wav
75_silence_2,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_silence_2.wav
75_silence_3,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_silence_3.wav
75_silence_4,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_silence_4.wav
75_volume_0,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_volume_0.wav
75_volume_1,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_volume_1.wav
75_volume_2,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_volume_2.wav
75_volume_3,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_volume_3.wav
75_volume_4,75,How many distinct sound categories are there in this audio file?,3,6,5,4,count_audio_perturbations_only/75_volume_4.wav
76_silence_0,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_silence_0.wav
76_silence_1,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_silence_1.wav
76_silence_2,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_silence_2.wav
76_silence_3,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_silence_3.wav
76_silence_4,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_silence_4.wav
76_volume_0,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_volume_0.wav
76_volume_1,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_volume_1.wav
76_volume_2,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_volume_2.wav
76_volume_3,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_volume_3.wav
76_volume_4,76,Determine the number of unique sound sources in this recording.,2,3,0,1,count_audio_perturbations_only/76_volume_4.wav
77_silence_0,77,How many separate sound sources are included in the audio?,2,0,3,1,count_audio_perturbations_only/77_silence_0.wav
77_silence_1,77,How many separate sound sources are included in the audio?,2,0,3,1,count_audio_perturbations_only/77_silence_1.wav
